task_id,description,category,deadline_days,workload_hours,current_assignee,priority
T00001,Create new nightly widget for the search homepage. Related to the auth incident from last week.,documentation,0,1.1,chen,Medium
T00002,"Add integration tests covering urgent flow in billing. Blocked by another team, follow up needed.",deployment,3,1.7,bharath,Medium
T00003,Build export to quarterly functionality for profile reports. Please review before the next sprint.,feature,9,6.5,alice,Medium
T00004,Write unit tests for automated function in search module. Related to the profile incident from last week.,testing,1,19.3,chen,High
T00005,Login fails intermittently with recurring error on inventory browser,bug,3,11.8,hassan,High
T00006,Create new recurring widget for the search homepage. Related to the mobile app incident from last week.,bug,1,3.6,alice,Medium
T00007,"Set up regression test suite for admin after nightly change. Customer escalation, please prioritize.",testing,6,18.7,gita,Medium
T00008,Configure CI/CD pipeline for checkout service on nightly. Please review before the next sprint.,deployment,1,22.2,chen,Medium
T00009,Build export to large functionality for search reports. Related to the reporting incident from last week.,feature,7,60.0,bharath,Low
T00010,Fix crash when user uploads minor file on profile page,bug,0,18.4,esha,High
T00011,Login fails intermittently with recurring error on API gateway browser,bug,1,9.2,divya,High
T00012,Implement dark mode support for mobile app screen,feature,0,7.3,alice,Medium
T00013,Application freezes after clicking user-reported button on search. Please review before the next sprint.,bug,1,5.7,hassan,High
T00014,"Add automated filter option to the profile dashboard. Blocked by another team, follow up needed.",feature,3,3.8,alice,Medium
T00015,"Create new large widget for the billing homepage. Customer escalation, please prioritize.",feature,3,34.2,gita,Medium
T00016,Data not saving correctly after minor update in checkout form,bug,2,14.5,chen,High
T00017,Login fails intermittently with minor error on auth browser. Related to the auth incident from last week.,bug,8,5.4,hassan,Medium
T00018,Configure CI/CD pipeline for mobile app service on user-reported. Related to the reporting incident from last week.,deployment,3,4.0,hassan,Medium
T00019,Implement dark mode support for search screen,feature,10,6.0,hassan,Low
T00020,"Configure CI/CD pipeline for profile service on nightly. Customer escalation, please prioritize.",deployment,0,11.9,farhan,High
T00021,Roll out recurring update to checkout production environment,deployment,2,10.0,hassan,Medium
T00022,Write unit tests for large function in auth module,testing,1,18.5,bharath,Medium
T00023,"Update API docs for the auth endpoint covering urgent usage. Blocked by another team, follow up needed.",deployment,7,1.6,divya,Low
T00024,"Create new critical widget for the billing homepage. Blocked by another team, follow up needed.",feature,1,9.2,bharath,Medium
T00025,Write onboarding guide for new reporting users about scheduled. Related to the API gateway incident from last week.,documentation,10,18.4,hassan,Low
T00026,Null pointer exception occurring in checkout module during critical operation. Please review before the next sprint.,bug,12,,alice,High
T00027,"Add notification system for critical events in reporting. Blocked by another team, follow up needed.",feature,0,6.7,gita,Medium
T00028,"Add integration tests covering scheduled flow in billing. Blocked by another team, follow up needed.",testing,8,4.6,esha,Low
T00029,Migrate profile database to scheduled during maintenance window,deployment,3,24.7,divya,High
T00030,Application freezes after clicking automated button on reporting. Related to the search incident from last week.,bug,1,9.0,alice,High
T00031,Null pointer exception occurring in mobile app module during scheduled operation,bug,1,37.1,divya,High
T00032,Fix crash when user uploads urgent file on billing page,bug,9,8.3,hassan,Medium
T00033,Create new quarterly widget for the API gateway homepage. Related to the inventory incident from last week.,feature,5,9.0,bharath,Low
T00034,Create new minor widget for the admin homepage. Related to the billing incident from last week.,feature,10,22.1,chen,Medium
T00035,Build export to urgent functionality for auth reports. Please review before the next sprint.,testing,5,5.7,farhan,Low
T00036,Update API docs for the admin endpoint covering automated usage,documentation,9,5.9,esha,Low
T00037,"Fix crash when user uploads urgent file on mobile app page. Blocked by another team, follow up needed.",bug,2,32.6,divya,High
T00038,Perform load testing on reporting service under large traffic,testing,6,5.9,divya,Low
T00039,"Build export to critical functionality for billing reports. Blocked by another team, follow up needed.",feature,9,13.4,divya,Low
T00040,"Create changelog entry for urgent release of auth. Blocked by another team, follow up needed.",testing,4,7.6,bharath,Low
T00041,"Application freezes after clicking quarterly button on checkout. Blocked by another team, follow up needed.",bug,7,4.9,esha,Medium
T00042,Build export to automated functionality for checkout reports,feature,3,13.9,farhan,Medium
T00043,Configure CI/CD pipeline for profile service on minor,deployment,6,1.0,bharath,Low
T00044,"Application freezes after clicking recurring button on API gateway. Blocked by another team, follow up needed.",bug,0,23.4,farhan,High
T00045,Add nightly filter option to the billing dashboard,feature,2,1.3,esha,Medium
T00046,Application freezes after clicking critical button on profile. Please review before the next sprint.,bug,0,5.5,farhan,High
T00047,Configure CI/CD pipeline for admin service on automated,deployment,3,2.4,bharath,Medium
T00048,"Login fails intermittently with urgent error on mobile app browser. Blocked by another team, follow up needed.",bug,0,5.8,hassan,Medium
T00049,"Provision new scheduled servers for checkout scaling. Customer escalation, please prioritize.",deployment,4,16.5,esha,Medium
T00050,"Add recurring filter option to the billing dashboard. Customer escalation, please prioritize.",feature,6,21.9,alice,Low
T00051,Add urgent filter option to the reporting dashboard,feature,5,28.8,gita,Medium
T00052,Roll out critical update to billing production environment,documentation,2,2.7,hassan,Medium
T00053,Null pointer exception occurring in checkout module during automated operation,bug,7,22.2,esha,Medium
T00054,Write unit tests for quarterly function in search module,testing,5,11.7,bharath,Low
T00055,Implement dark mode support for mobile app screen,feature,2,8.1,alice,Medium
T00056,"Fix crash when user uploads automated file on billing page. Blocked by another team, follow up needed.",bug,3,10.0,chen,High
T00057,"Add quarterly filter option to the reporting dashboard. Customer escalation, please prioritize.",feature,5,15.0,hassan,Low
T00058,"Write onboarding guide for new auth users about automated. Customer escalation, please prioritize.",documentation,0,4.9,alice,Medium
T00059,Implement dark mode support for API gateway screen,feature,1,9.7,hassan,Medium
