task_id,description,category,deadline_days,workload_hours,current_assignee,priority,desc_length,clean_description
T00001,Create new nightly widget for the search homepage. Related to the auth incident from last week.,documentation,0,1.1,chen,Medium,16,create new night widget search homepage relat auth incident last week
T00002,"Add integration tests covering urgent flow in billing. Blocked by another team, follow up needed.",deployment,3,1.7,bharath,Medium,15,add integration test cover urgent flow bill block another team follow need
T00003,Build export to quarterly functionality for profile reports. Please review before the next sprint.,feature,9,6.5,alice,Medium,14,build export quarter functionality profile report please review before next sprint
T00004,Write unit tests for automated function in search module. Related to the profile incident from last week.,testing,1,19.3,chen,High,17,write unit test automat function search module relat profile incident last week
T00005,Login fails intermittently with recurring error on inventory browser,bug,3,11.8,hassan,High,9,login fail intermittent recurr error inventory browser
T00006,Create new recurring widget for the search homepage. Related to the mobile app incident from last week.,bug,1,3.6,alice,Medium,17,create new recurr widget search homepage relat mobile app incident last week
T00007,"Set up regression test suite for admin after nightly change. Customer escalation, please prioritize.",testing,6,18.7,gita,Medium,14,set regression test suite admin after night change customer escalation please prioritize
T00008,Configure CI/CD pipeline for checkout service on nightly. Please review before the next sprint.,deployment,1,22.2,chen,Medium,14,configure pipeline checkout service night please review before next sprint
T00009,Build export to large functionality for search reports. Related to the reporting incident from last week.,feature,7,60.0,bharath,Low,16,build export large functionality search report relat report incident last week
T00010,Fix crash when user uploads minor file on profile page,bug,0,18.4,esha,High,10,fix crash user upload minor file profile page
T00011,Login fails intermittently with recurring error on API gateway browser,bug,1,9.2,divya,High,10,login fail intermittent recurr error api gateway browser
T00012,Implement dark mode support for mobile app screen,feature,0,7.3,alice,Medium,8,implement dark mode support mobile app screen
T00013,Application freezes after clicking user-reported button on search. Please review before the next sprint.,bug,1,5.7,hassan,High,14,application freez after click user report button search please review before next sprint
T00014,"Add automated filter option to the profile dashboard. Blocked by another team, follow up needed.",feature,3,3.8,alice,Medium,15,add automat filter option profile dashboard block another team follow need
T00015,"Create new large widget for the billing homepage. Customer escalation, please prioritize.",feature,3,34.2,gita,Medium,12,create new large widget bill homepage customer escalation please prioritize
T00016,Data not saving correctly after minor update in checkout form,bug,2,14.5,chen,High,10,data sav correct after minor update checkout form
T00017,Login fails intermittently with minor error on auth browser. Related to the auth incident from last week.,bug,8,5.4,hassan,Medium,17,login fail intermittent minor error auth browser relat auth incident last week
T00018,Configure CI/CD pipeline for mobile app service on user-reported. Related to the reporting incident from last week.,deployment,3,4.0,hassan,Medium,17,configure pipeline mobile app service user report relat report incident last week
T00019,Implement dark mode support for search screen,feature,10,6.0,hassan,Low,7,implement dark mode support search screen
T00020,"Configure CI/CD pipeline for profile service on nightly. Customer escalation, please prioritize.",deployment,0,11.9,farhan,High,12,configure pipeline profile service night customer escalation please prioritize
T00021,Roll out recurring update to checkout production environment,deployment,2,10.0,hassan,Medium,8,roll out recurr update checkout production environment
T00022,Write unit tests for large function in auth module,testing,1,18.5,bharath,Medium,9,write unit test large function auth module
T00023,"Update API docs for the auth endpoint covering urgent usage. Blocked by another team, follow up needed.",deployment,7,1.6,divya,Low,17,update api doc auth endpoint cover urgent usage block another team follow need
T00024,"Create new critical widget for the billing homepage. Blocked by another team, follow up needed.",feature,1,9.2,bharath,Medium,15,create new critical widget bill homepage block another team follow need
